# What each published bottle was built against. Written by scripts/build.sh on publish,
# read by needs_build() to spot a dependency moving under a package that has not itself
# changed version — the case Homebrew's version check cannot see, and the reason ffmpeg
# kept shipping a bottle linked against libx265.216 after x265 moved to 4.3.
#
# Format: package <TAB> version-at-publish <TAB> space-separated dep=version pairs
# Only tap dependencies are recorded: they are the ones this pipeline resolves, versions
# and bakes into the binaries. An empty third column means "nothing tap-owned was linked",
# not "unknown" — and unknown is never a reason to rebuild.
#
# The file backfills as packages rebuild. It is not a historical log: one line per package,
# rewritten in place on every publish.
xz	5.8.4	
automake	1.19	autoconf=2.73
libssh2	1.11.1_5	openssl@3=3.6.4
readline	8.3.6	
libvmaf	3.2.1	
ffmpeg	8.1.2_4	dav1d=1.5.4 lame=4.0 libvmaf=3.2.1 libvpx=1.17.0 openssl@3=3.6.4 opus=1.6.1 sdl2-compat=2.32.72 svt-av1=4.2.0 x264=r3222 x265=4.3
bash	5.3.20	gettext=1.0 ncurses=6.6 readline=8.3.6
docker	29.8.1	
gh	2.101.0	
jemalloc	5.4.0	
googletest	1.18.0	
abseil	20260817.0	
highway	1.4.0	
node	26.9.0	abseil=20260817.0 ada-url=4.0.0 brotli=1.2.0 c-ares=1.34.8 hdrhistogram_c=0.11.10 highway=1.4.0 icu4c@78=78.3 libffi=3.8.0 libnghttp2=1.70.0 libuv=1.52.1 llhttp=9.4.3 merve=1.2.2_3 nbytes=0.1.4 openssl@3=3.6.4 simdjson=4.6.11 sqlite=3.53.4 uvwasi=0.0.23 zstd=1.5.7_1
deno	2.9.7	little-cms2=2.19.1 sqlite=3.53.4
meson	1.12.1	ninja=1.13.2 python@3.14=3.14.7
merve	1.2.2_3	simdutf=9.2.1
wget	1.25.0_2	gettext=1.0 libidn2=2.3.8 libpsl=0.23.3 libunistring=1.4.2 openssl@4=4.0.2
expat	2.8.5	
rtk	0.50.0	
ca-certificates	2026-09-25	
openssl@4	4.0.2	ca-certificates=2026-09-25
utf8proc	2.12.0	
python-setuptools	84.0.0	
libuv	1.53.0	
simdutf	9.2.1_1	icu4c@78=78.3
